B1,B2,B3,B4,Label
-88.25,-80.5,-79.25,-89,Empty
-89.75,-80.5,-79.25,-89,Empty
-89.75,-80,-80,-81.5,Empty
-91,-80,-81.25,-81.5,Empty
-91,-79.5,-82.67,-81.33,Empty
-91.5,-79.5,-83.25,-81.33,Empty
-91.5,-78.5,-85,-81.25,Empty
-88.75,-78.5,-84,-81.25,Empty
-88.75,-73.25,-83.67,-81,Empty
-87.67,-73.25,-83.25,-81,Empty
-87.67,-72.5,-83.25,-80.5,Empty
-84.67,-72.5,-82.5,-80.5,Empty
-84.67,-72.75,-82.5,-80.25,Empty
-84,-72.75,-81.75,-80.25,Empty
-84,-74.25,-81.75,-84.75,Empty
-85.67,-74.25,-80.75,-84.75,Empty
-85.67,-76,-80.75,-89.25,Empty
-86,-76,-79.5,-89.25,Empty
-86,-77,-79.5,-92.33,Empty
-87.33,-77,-78.5,-92.33,Empty
-87.33,-76.75,-78.5,-98.5,Empty
-87,-76.75,-79,-98.5,Empty
-87,-76.5,-79,-98,Empty
-89,-76.5,-80.25,-98,Empty
-89,-75.75,-80.25,-82,Empty
-91,-75.75,-82.25,-82,Empty
-91,-74.5,-82.25,-82,Empty
-88,-74.5,-83.25,-82,Empty
-88,-73,-83.25,-81.33,Empty
-86.25,-73,-83,-81.33,Empty
-86.25,-71.5,-83,-81,Empty
-84,-71.5,-83.5,-81,Empty
-84,-72,-83.5,-80.5,Empty
-81.75,-72,-82,-80.5,Empty
-81.75,-74.5,-82,-80,Empty
-83.25,-74.5,-79.5,-80,Empty
-83.25,-76.25,-79.5,-80,Empty
-84,-76.25,-78.67,-80,Empty
-84,-78,-78.67,-80,Empty
-85,-78,-78.25,-80,Empty
-85,-78.33,-78.25,-80,Empty
-88,-78.33,-81,-80,Empty
-88,-76,-81,-82,Empty
-91,-76,-83.25,-82,Empty
-91,-75.33,-83.25,-81.5,Empty
-92.5,-75.33,-85.25,-81.5,Empty
-92.5,-74.67,-85.25,-81.33,Empty
-92.5,-74.67,-87.25,-81.33,Empty
-92.5,-73.5,-87.25,-81.25,Empty
-89,-73.5,-84.75,-81.25,Empty
-89,-73,-84.75,-85.5,Empty
-85.67,-73,-83.75,-85.5,Empty
-85.67,-72.33,-83.75,-85.25,Empty
-81.33,-72.33,-82.75,-85.25,Empty
