B1,B2,B3,B4,Label
-75.75,-91.75,-73.25,-65.5,Empty
-75.75,-91.75,-73.25,-65.5,Empty
-77.5,-92.25,-75,-64.75,Empty
-77.5,-92.25,-75,-64.75,Empty
-79.25,-93,-77.25,-63.5,Empty
-79.25,-93,-77.25,-63.5,Empty
-80.25,-92.25,-79.25,-62.67,Empty
-80.25,-92.25,-79.25,-62.25,Empty
-80,-90.75,-81.5,-61,Empty
-80,-90.75,-81.5,-61,Empty
-79.33,-89.75,-79.5,-61,Empty
-79.33,-89.75,-79.5,-62,Empty
-78.67,-88.67,-77.25,-62.5,Empty
-77.5,-88.67,-77.25,-63,Empty
-77.33,-88,-75.25,-64,Empty
-77.33,-88,-75.25,-64,Empty
-76.5,-88,-73,-64,Empty
-76.5,-88,-73,-64.5,Empty
-79.75,-89,-73,-64.5,Empty
-79.75,-89,-73,-64.75,Empty
-80.25,-91,-73,-64.75,Empty
-82.33,-91,-73,-70.5,Empty
-81.75,-91.33,-73,-70.5,Empty
-81.75,-91.33,-73,-69.5,Empty
-83.25,-91.75,-75.25,-69.5,Empty
-83.25,-91.75,-75.25,-68.25,Empty
-80.25,-92.5,-79.25,-68.25,Empty
-80.25,-92.5,-79.25,-67.25,Empty
-79.75,-91,-81.5,-67.25,Empty
-79.75,-91,-81.5,-60.75,Empty
-79.67,-89.5,-84.33,-60.75,Empty
-79.67,-89.5,-84.33,-61.75,Empty
-79.33,-87.75,-81.33,-61.75,Empty
-79.33,-87.75,-81.33,-62.5,Empty
-77.67,-86,-75.67,-62.5,Empty
-77.67,-86,-75.67,-63,Empty
-76,-86.75,-78.33,-63,Empty
-76,-86.75,-78.33,-64,Empty
-75.5,-87.25,-77,-64,Empty
-75.5,-87.25,-77,-64.5,Empty
-76,-87.67,-77,-64.5,Empty
-76,-87.67,-77,-65,Empty
-78.5,-90.67,-77.25,-65,Empty
-78.5,-90.67,-77.25,-71.25,Empty
-80.25,-91.33,-73,-71.25,Empty
-80.25,-91.33,-73,-70.25,Empty
-82,-92.67,-75.25,-70.25,Empty
-82,-92.67,-75.25,-69,Empty
-81.5,-92.75,-77.75,-69,Empty
-81.5,-92.75,-77.75,-67.75,Empty
-80,-91,-81.5,-67.75,Empty
-80,-91,-81.5,-61,Empty
-79.75,-90.25,-81.5,-61,Empty
-79.75,-90.25,-81.5,-61.75,Empty
-83.25,-89,-79.25,-61.75,Empty
-83.25,-89,-79.25,-62.5,Empty
-82.25,-88.5,-77,-62.5,Empty
-82.25,-88.5,-77,-63.25,Empty
-81,-89.25,-73.33,-63.25,Empty
-81,-89.25,-73.33,-64.25,Empty
-79.5,-89.25,-74.33,-64.25,Empty
-79.5,-89.25,-74.33,-64.5,Empty
-76,-90.25,-74.33,-64.5,Empty
-76,-90.25,-74.33,-65,Empty
-76.33,-91,-74.5,-65,Empty
-76.33,-91,-74.5,-70,Empty
-80,-91.33,-74.5,-70,Empty
-80,-91.33,-74.5,-69,Empty
-81.67,-92.33,-77,-69,Empty
-81.67,-92.33,-77,-68,Empty
-82,-93,-89,-68,Empty
-82,-93,-89,-66.75,Empty
-81,-89.5,-86.67,-66.75,Empty
-81,-89.5,-86.67,-61.75,Empty
-79,-88.67,-83.25,-61.75,Empty
-79,-88.67,-83.25,-62.5,Empty
-79,-87.33,-81.5,-62.5,Empty
-79,-87.33,-81.5,-63,Empty
-77.67,-88.25,-75.5,-63,Empty
-77.67,-88.25,-75.5,-63.75,Empty
-76,-89.25,-78,-63.75,Empty
-76,-89.25,-78,-64.25,Empty
-74.67,-89.75,-78,-64.25,Empty
-74.67,-89.75,-78,-64.5,Empty
-76.25,-91,-77.75,-64.5,Empty
-76.25,-91,-77.75,-65,Empty
-81.75,-91.5,-77.75,-65,Empty
-81.75,-91.5,-77.75,-65.33,Empty
-83.5,-91.67,-75.25,-65.33,Empty
-83.5,-91.67,-75.25,-63.67,Empty
-84.25,-92.67,-77.5,-63.67,Empty
-84.25,-92.67,-77.5,-62.33,Empty
-83.5,-91,-83.25,-62.33,Empty
-83.5,-91,-83.25,-62,Empty
-78.75,-89.33,-85.5,-62,Empty
-78.75,-89.33,-85.5,-61.75,Empty
-78,-88.75,-83,-61.75,Empty
-78,-88.75,-83,-62.5,Empty
-77.33,-87.25,-80.5,-62.5,Empty
-77.33,-87.25,-80.5,-63,Empty
-76.67,-88.25,-74.75,-63,Empty
-76.67,-88.25,-74.75,-63.5,Empty
-75.33,-88.75,-72.5,-63.5,Empty
-75.33,-88.75,-72.5,-63.75,Empty
-76.75,-89.25,-73.25,-63.75,Empty
-76.75,-89.25,-73.25,-64,Empty
-78,-90.33,-73.5,-64,Empty
-78,-90.33,-73.5,-69.25,Empty
-80.5,-89.5,-74.5,-69.25,Empty
-80.5,-90,-74.5,-68.5,Empty
-82.25,-90,-76.5,-68.5,Empty
-82.25,-91.33,-76.5,-67.5,Empty
-81.5,-92.5,-78.25,-67.5,Empty
-81.5,-90.33,-78.25,-66.5,Empty
-81,-90.33,-80,-66.5,Empty
-81,-89.75,-80,-60.67,Empty
-79.25,-89.75,-79,-60.67,Empty
-79.25,-89,-79,-62,Empty
-78.67,-89,-76.33,-62,Empty
-78.67,-87,-76.33,-63,Empty
-77.33,-87,-73.5,-63,Empty
-77.33,-87.33,-73.5,-64,Empty
-76,-87.33,-73.33,-64,Empty
-76,-88,-73.33,-64.25,Empty
-74.67,-88,-73,-64.25,Empty
-74.67,-88.67,-73,-64.5,Empty
-76.25,-88.67,-73.5,-64.5,Empty
-76.25,-90,-73.5,-64.75,Empty
-78,-90,-74,-64.75,Empty
-78,-91,-74,-65,Empty
-79.75,-91,-76.67,-65,Empty
-79.75,-91.75,-76.67,-64,Empty
-81.33,-91.75,-76.67,-64,Empty
-81.33,-92,-77.75,-63,Empty
-80.33,-92,-79,-63,Empty
-80.33,-91,-79.5,-62,Empty
-79.67,-91,-81,-62,Empty
-79.67,-89.25,-83.25,-61,Empty
-78.67,-89.25,-84,-61,Empty
-78.67,-88,-81.5,-61,Empty
-78.67,-88,-81.5,-61,Empty
-78.67,-87,-79.75,-62,Empty
-77.33,-87,-79.75,-62,Empty
-77.33,-88.5,-82.5,-62.67,Empty
-75.67,-88.5,-82.5,-62.67,Empty
-75.67,-89,-78.25,-64.33,Empty
-80,-89,-78.25,-64.33,Empty
-80,-89.33,-79.67,-69.5,Empty
-80.25,-89.33,-79.67,-69.5,Empty
-80.25,-90.5,-79.33,-70,Empty
-82.25,-90.5,-79.33,-70,Empty
-82.25,-90,-73,-75.25,Empty
-84.75,-90,-73,-75.25,Empty
-84.75,-91,-82,-74,Empty
-81.5,-91,-82,-74,Empty
-81.5,-92,-82,-68,Empty
-81,-92,-82,-68,Empty
-81,-90,-84.67,-66.75,Empty
-80,-90,-84.67,-66.75,Empty
-80,-89,-84.33,-61.75,Empty
-78.67,-89,-84.33,-61.75,Empty
-78.67,-88.5,-75.33,-62,Empty
-77.33,-88.5,-75.33,-62,Empty
-77.33,-87,-74.75,-63,Empty
-75.67,-87,-74.75,-63,Empty
-75.67,-88.5,-72.75,-64,Empty
-74.5,-88.5,-72.75,-64,Empty
-74.33,-89.5,-73,-64.67,Empty
-74.33,-89.5,-73,-64.67,Empty
-76,-89.75,-77,-64.75,Empty
-76.33,-89.75,-77,-64.75,Empty
-77.5,-90.67,-77,-65,Empty
-77.5,-90.67,-77,-65,Empty
-79.5,-91,-79,-65.33,Empty
-79.5,-91,-79,-65.33,Empty
-81.25,-90.67,-83,-63.67,Empty
-81.25,-90.67,-83,-63.67,Empty
-80.75,-92.33,-81,-62.33,Empty
-80.75,-92.33,-81,-62.33,Empty
-80.25,-91.5,-83,-61,Empty
-80.25,-91.5,-83,-61,Empty
-79.5,-90,-80.75,-68.5,Empty
-79.5,-90,-80.75,-68.5,Empty
-79,-89,-76.5,-69,Empty
-79,-89,-76.5,-69,Empty
-77.33,-88,-74.75,-69.75,Empty
-77.33,-88,-74.75,-69.75,Empty
-76,-88.25,-72.75,-70.5,Empty
